ψ,x,BeforeRed,BeforeBlack,AfterRed,AfterBlack
-50.77,0.600,139.288 ,139.446 ,139.385 ,139.194 
-43.85,0.480,139.402 ,139.196 ,139.396 ,139.160 
-36.87,0.360,139.344 ,139.226 ,139.382 ,139.281 
-29.33,0.240,139.248 ,139.182 ,139.235 ,139.294 
-20.27,0.120,139.021 ,139.136 ,139.080 ,139.334 
0,0.000,138.789 ,138.965 ,139.070 ,139.435 
0,0.000,138.827 ,138.920 ,138.764 ,139.536 
20.27,0.120,139.065 ,138.985 ,139.229 ,139.358 
29.33,0.240,139.022 ,139.191 ,139.166 ,139.158 
36.87,0.360,139.252 ,139.237 ,139.304 ,139.051 
43.85,0.480,139.398 ,139.304 ,139.305 ,139.110 
50.77,0.600,139.482 ,139.450 ,139.524 ,138.897 
